City,Category,Business,Demand,Competition,Investment
Agra,Retail,Bookstore,56,50,600000
Kolkata,Fitness,Gym,96,79,2700000
Guwahati,Education,Online Course,57,75,1100000
Pune,Retail,Grocery Store,82,30,3600000
Hyderabad,Tourism,Travel Agency,78,50,3900000
Pune,Healthcare,Pharmacy,81,49,1600000
Madurai,Tech,Software Startup,54,42,1300000
Rajkot,Healthcare,Pharmacy,82,21,4600000
Jodhpur,Education,Online Course,59,50,1900000
Visakhapatnam,Food,Cloud Kitchen,59,21,1300000
Aurangabad,Tech,Electronics Store,77,70,1700000
Patna,Tourism,Tour Guide Service,88,45,4800000
Jaipur,Tourism,Guest House,71,61,3200000
Jodhpur,Tourism,Tour Guide Service,87,75,3800000
Bhopal,Food,Restaurant,74,67,5000000
Kanpur,Food,Cafe,58,35,4100000
Jaipur,Healthcare,Clinic,91,31,900000
Mumbai,Retail,Bookstore,65,39,3200000
Mysore,Tech,Mobile Repair,59,43,3500000
Mumbai,Tourism,Travel Agency,86,52,1300000
Agra,Retail,Clothing Boutique,62,71,3200000
Agra,Tech,Software Startup,86,34,4600000
Visakhapatnam,Food,Cloud Kitchen,53,75,4400000
Ghaziabad,Retail,Grocery Store,84,46,1600000
Visakhapatnam,Food,Restaurant,81,70,3700000
Kota,Retail,Bookstore,100,78,2800000
Pune,Food,Cloud Kitchen,85,25,3400000
Vijayawada,Tourism,Tour Guide Service,60,22,800000
Hyderabad,Fitness,Gym,83,33,1700000
Patna,Healthcare,Clinic,73,49,4400000
Vasai,Tourism,Travel Agency,62,51,1100000
Mumbai,Tourism,Travel Agency,91,20,3200000
Solapur,Healthcare,Pharmacy,69,23,4900000
Aurangabad,Education,Online Course,78,31,1100000
Kanpur,Healthcare,Diagnostic Center,91,52,4200000
Ghaziabad,Education,Coaching Institute,99,73,1800000
Jaipur,Tech,Software Startup,84,44,3500000
Visakhapatnam,Retail,Clothing Boutique,69,61,4100000
Gwalior,Tech,Software Startup,74,69,1000000
Hyderabad,Fitness,Gym,71,42,3300000
Hubli,Retail,Bookstore,69,45,3300000
Mumbai,Tourism,Guest House,54,32,1000000
Varanasi,Food,Bakery,82,38,4500000
Nashik,Education,Tuition Center,88,53,3500000
Jaipur,Healthcare,Diagnostic Center,50,41,2600000
Delhi,Tourism,Guest House,95,76,3400000
Kanpur,Fitness,Gym,65,40,1700000
Chennai,Healthcare,Pharmacy,75,33,4100000
Dhanbad,Tourism,Tour Guide Service,63,21,600000
Nagpur,Tech,Mobile Repair,74,74,4900000
Faridabad,Tech,Electronics Store,71,71,1100000
Ranchi,Retail,Clothing Boutique,77,43,3900000
Hubli,Tourism,Travel Agency,86,28,700000
Rajkot,Tech,Software Startup,70,56,2800000
Varanasi,Food,Cloud Kitchen,70,32,4800000
Nagpur,Retail,Grocery Store,86,47,700000
Bhopal,Education,Tuition Center,100,54,1700000
Kanpur,Fitness,Yoga Studio,80,20,3400000
Ahmedabad,Education,Tuition Center,63,63,3200000
Navi Mumbai,Fitness,Dance Studio,73,46,4600000
Nagpur,Tourism,Guest House,81,78,800000
Ghaziabad,Food,Cafe,62,25,2300000
Pune,Education,Online Course,98,70,3000000
Ahmedabad,Fitness,Dance Studio,100,74,4800000
Bangalore,Food,Cloud Kitchen,83,74,1200000
Nashik,Food,Cafe,57,64,4300000
Guwahati,Food,Cafe,83,54,700000
Amritsar,Fitness,Gym,84,22,2900000
Mysore,Tech,Mobile Repair,97,46,3200000
Agra,Retail,Clothing Boutique,89,63,4200000
Chennai,Tourism,Tour Guide Service,53,45,4300000
Ahmedabad,Tourism,Guest House,97,47,4100000
Ludhiana,Education,Tuition Center,59,73,3700000
Srinagar,Tech,Mobile Repair,94,69,2400000
Guwahati,Tech,Software Startup,92,47,3600000
Gwalior,Retail,Bookstore,62,21,2400000
Srinagar,Tourism,Travel Agency,70,29,4500000
Hubli,Healthcare,Diagnostic Center,93,36,4800000
Kanpur,Retail,Bookstore,53,33,4400000
Ludhiana,Retail,Grocery Store,81,33,4000000
Raipur,Retail,Bookstore,100,39,3200000
Solapur,Education,Tuition Center,73,29,4000000
Nagpur,Education,Coaching Institute,86,35,4700000
Jaipur,Fitness,Yoga Studio,72,61,2600000
Jaipur,Fitness,Gym,68,39,3200000
Jabalpur,Retail,Grocery Store,56,79,500000
Madurai,Fitness,Dance Studio,79,32,2800000
Visakhapatnam,Healthcare,Diagnostic Center,66,65,3400000
Guwahati,Tech,Software Startup,61,63,4600000
Kanpur,Education,Tuition Center,75,26,3600000
Mumbai,Tech,Mobile Repair,90,34,3500000
Nashik,Tech,Electronics Store,83,33,2400000
Nashik,Tech,Electronics Store,68,42,1100000
Bangalore,Retail,Clothing Boutique,62,58,2900000
Jodhpur,Fitness,Gym,92,21,600000
Patna,Retail,Grocery Store,87,47,4300000
Navi Mumbai,Food,Cafe,80,76,1800000
Allahabad,Tourism,Travel Agency,54,61,4300000
Pune,Healthcare,Clinic,61,27,4600000
Agra,Tourism,Travel Agency,63,20,3500000
Amritsar,Retail,Bookstore,51,79,3500000
Vadodara,Education,Online Course,52,67,800000
Jabalpur,Fitness,Yoga Studio,62,72,1800000
Lucknow,Food,Cafe,95,56,2500000
Ludhiana,Retail,Bookstore,90,43,1300000
Vijayawada,Tech,Electronics Store,95,69,3100000
Pune,Fitness,Gym,59,42,900000
Pune,Tech,Software Startup,71,47,2300000
Hyderabad,Tourism,Tour Guide Service,81,41,5000000
Hyderabad,Tourism,Travel Agency,71,29,5000000
Srinagar,Fitness,Dance Studio,57,27,4300000
Nagpur,Tech,Software Startup,82,67,4100000
Chennai,Fitness,Yoga Studio,69,64,3000000
Ahmedabad,Tech,Electronics Store,67,78,700000
Ahmedabad,Fitness,Gym,84,73,4600000
Hubli,Education,Tuition Center,85,74,800000
Nashik,Tourism,Travel Agency,62,36,4400000
Bhopal,Tourism,Tour Guide Service,99,23,1900000
Varanasi,Education,Online Course,79,42,1300000
Mysore,Food,Cafe,55,44,1700000
Kanpur,Tech,Mobile Repair,82,25,1800000
Gwalior,Retail,Bookstore,75,55,4000000
Hyderabad,Tech,Electronics Store,79,60,2900000
Gwalior,Education,Online Course,62,58,3400000
Navi Mumbai,Food,Cloud Kitchen,78,76,3100000
Agra,Food,Restaurant,69,74,900000
Visakhapatnam,Food,Cafe,95,46,4100000
Hyderabad,Education,Tuition Center,87,54,2400000
Faridabad,Food,Cloud Kitchen,75,65,600000
Mumbai,Healthcare,Pharmacy,50,28,4700000
Vadodara,Tech,Electronics Store,100,27,1600000
Lucknow,Education,Coaching Institute,84,63,1500000
Thane,Retail,Grocery Store,77,27,2900000
Chandigarh,Tech,Software Startup,75,63,1900000
Vadodara,Healthcare,Diagnostic Center,66,32,2100000
Jaipur,Retail,Bookstore,93,54,4300000
Ranchi,Retail,Bookstore,90,63,500000
Ludhiana,Healthcare,Clinic,64,27,800000
Allahabad,Education,Coaching Institute,84,25,4200000
Coimbatore,Healthcare,Diagnostic Center,57,46,3700000
Mumbai,Retail,Clothing Boutique,91,71,2700000
Ranchi,Tourism,Guest House,100,70,500000
Jaipur,Food,Cloud Kitchen,86,76,1600000
Chennai,Education,Tuition Center,93,80,3000000
Hubli,Education,Tuition Center,100,39,700000
Bhopal,Fitness,Gym,98,69,4900000
Hyderabad,Tech,Software Startup,72,64,1200000
Bangalore,Fitness,Dance Studio,75,52,4700000
Mysore,Tech,Electronics Store,58,29,3300000
Ahmedabad,Healthcare,Pharmacy,91,69,2200000
Meerut,Tourism,Travel Agency,52,46,3600000
Thane,Tourism,Travel Agency,75,28,3100000
Ahmedabad,Tourism,Guest House,100,58,3100000
Kota,Tech,Software Startup,56,27,4200000
Vasai,Tourism,Tour Guide Service,68,34,4900000
Bangalore,Retail,Grocery Store,94,50,500000
Ghaziabad,Healthcare,Pharmacy,51,61,600000
Amritsar,Fitness,Gym,90,62,2200000
Dhanbad,Education,Tuition Center,95,40,2500000
Ludhiana,Food,Cloud Kitchen,54,24,1300000
Agra,Education,Coaching Institute,55,77,1800000
Hyderabad,Retail,Clothing Boutique,74,32,3100000
Nagpur,Fitness,Dance Studio,96,78,3500000
Coimbatore,Food,Bakery,61,22,1900000
Navi Mumbai,Healthcare,Diagnostic Center,57,29,700000
Hyderabad,Fitness,Yoga Studio,79,38,2500000
Ahmedabad,Tourism,Tour Guide Service,60,48,1100000
Pune,Food,Bakery,63,35,3900000
Delhi,Healthcare,Pharmacy,78,40,1300000
Lucknow,Tourism,Travel Agency,86,64,2100000
Thane,Retail,Bookstore,96,25,3600000
Delhi,Retail,Grocery Store,97,28,700000
Indore,Tourism,Guest House,62,53,4700000
Faridabad,Healthcare,Diagnostic Center,59,23,4300000
Visakhapatnam,Tourism,Travel Agency,86,64,4200000
Mumbai,Fitness,Gym,87,59,800000
Jodhpur,Retail,Clothing Boutique,50,52,1100000
Bangalore,Food,Cloud Kitchen,56,23,2200000
Visakhapatnam,Education,Online Course,74,37,800000
Delhi,Tech,Electronics Store,55,56,4700000
Hyderabad,Tech,Software Startup,51,20,900000
Raipur,Retail,Bookstore,52,61,900000
Ahmedabad,Retail,Bookstore,87,61,1200000
Madurai,Retail,Clothing Boutique,68,61,4800000
Visakhapatnam,Healthcare,Pharmacy,93,25,700000
Gwalior,Education,Tuition Center,51,78,4700000
Nagpur,Retail,Clothing Boutique,92,68,1500000
Amritsar,Food,Bakery,88,54,2900000
Bangalore,Healthcare,Diagnostic Center,94,52,2600000
Chennai,Tech,Software Startup,87,41,3600000
Allahabad,Tourism,Tour Guide Service,96,31,2300000
Bangalore,Tech,Software Startup,77,30,600000
Bangalore,Education,Tuition Center,81,69,1900000
Hyderabad,Fitness,Dance Studio,90,70,3700000
Kanpur,Tech,Software Startup,83,62,3100000
Howrah,Food,Bakery,98,45,4700000
Guwahati,Tech,Electronics Store,62,68,3700000
Lucknow,Fitness,Gym,60,77,1800000
Thane,Food,Restaurant,57,34,3700000
Navi Mumbai,Fitness,Gym,82,70,2400000
Nashik,Education,Online Course,68,38,4800000
Tiruchirappalli,Food,Cloud Kitchen,60,46,4100000
Navi Mumbai,Food,Bakery,67,62,2900000
Mysore,Tech,Software Startup,61,79,4300000
Kota,Retail,Grocery Store,69,79,1000000
Jabalpur,Tech,Mobile Repair,75,73,3500000
Indore,Tech,Mobile Repair,92,33,900000
Visakhapatnam,Food,Restaurant,51,62,5000000
Solapur,Tech,Electronics Store,99,70,900000
Aurangabad,Healthcare,Clinic,53,43,3100000
Agra,Fitness,Dance Studio,85,21,3600000
Allahabad,Fitness,Gym,57,41,1400000
Jabalpur,Food,Restaurant,77,70,2900000
Kanpur,Fitness,Gym,75,32,2300000
Patna,Healthcare,Clinic,69,60,3000000
Raipur,Education,Coaching Institute,87,32,4000000
Kolkata,Retail,Clothing Boutique,67,77,2400000
Bangalore,Food,Bakery,86,76,2300000
Amritsar,Food,Restaurant,54,59,4900000
Ludhiana,Tech,Software Startup,53,69,2200000
Vijayawada,Retail,Grocery Store,69,65,2300000
Kanpur,Tourism,Guest House,97,28,3200000
Ghaziabad,Healthcare,Clinic,52,34,2000000
Jaipur,Food,Cafe,50,52,4100000
Vadodara,Healthcare,Clinic,73,78,500000
Bangalore,Tech,Software Startup,70,29,2600000
Rajkot,Food,Cloud Kitchen,89,64,4300000
Allahabad,Tourism,Guest House,100,72,2800000
Delhi,Food,Bakery,98,70,1200000
Lucknow,Tourism,Guest House,78,59,700000
Agra,Tech,Electronics Store,79,44,1500000
Vijayawada,Retail,Clothing Boutique,74,77,4900000
Indore,Fitness,Dance Studio,66,39,2200000
Nagpur,Tech,Software Startup,65,58,4200000
Delhi,Retail,Bookstore,92,80,4600000
Visakhapatnam,Tech,Mobile Repair,99,43,700000
Patna,Education,Online Course,50,25,1000000
Thane,Tourism,Tour Guide Service,62,44,2600000
Hyderabad,Retail,Bookstore,96,74,3200000
Coimbatore,Healthcare,Pharmacy,87,66,800000
Bhopal,Food,Restaurant,83,56,4800000
Hubli,Healthcare,Pharmacy,99,24,3700000
Chandigarh,Retail,Bookstore,89,63,4600000
Pune,Fitness,Gym,85,60,700000
Hubli,Food,Bakery,89,58,3100000
Jaipur,Fitness,Gym,79,20,1400000
Srinagar,Education,Online Course,86,71,3800000
Nagpur,Retail,Bookstore,76,43,1000000
Delhi,Retail,Grocery Store,59,63,3600000
Delhi,Healthcare,Pharmacy,86,33,5000000
Vijayawada,Tech,Mobile Repair,66,46,3300000
Ahmedabad,Food,Restaurant,97,55,2700000
Howrah,Fitness,Yoga Studio,65,29,4300000
Kota,Tech,Software Startup,97,27,1300000
Guwahati,Retail,Grocery Store,91,40,4500000
Kolkata,Education,Tuition Center,94,66,3300000
Srinagar,Education,Online Course,69,57,2700000
Mumbai,Food,Restaurant,84,21,3500000
Nagpur,Fitness,Gym,68,63,1700000
Delhi,Healthcare,Diagnostic Center,94,67,3500000
Madurai,Retail,Bookstore,73,41,4400000
Raipur,Food,Cloud Kitchen,93,51,2400000
Chennai,Food,Bakery,72,37,3500000
Rajkot,Tech,Mobile Repair,61,56,2800000
Pune,Food,Cloud Kitchen,100,36,3700000
Madurai,Retail,Clothing Boutique,77,55,1100000
Aurangabad,Education,Coaching Institute,50,23,3000000
Vadodara,Retail,Clothing Boutique,84,29,1200000
Ranchi,Food,Cloud Kitchen,79,50,4300000
Dhanbad,Food,Cloud Kitchen,83,62,3900000
Tiruchirappalli,Healthcare,Diagnostic Center,83,27,1900000
Tiruchirappalli,Tourism,Travel Agency,72,58,3000000
Thane,Education,Coaching Institute,57,60,900000
Vasai,Retail,Bookstore,86,41,2900000
Jabalpur,Healthcare,Pharmacy,58,34,500000
Tiruchirappalli,Healthcare,Clinic,93,66,500000
Guwahati,Education,Coaching Institute,96,51,4400000
Dhanbad,Fitness,Gym,75,30,2700000
Pune,Fitness,Dance Studio,51,39,3300000
Nashik,Education,Online Course,80,23,3100000
Thane,Tourism,Tour Guide Service,56,38,4300000
Gwalior,Fitness,Dance Studio,95,47,4200000
Visakhapatnam,Retail,Clothing Boutique,97,71,700000
Madurai,Tech,Software Startup,71,43,700000
Allahabad,Tourism,Tour Guide Service,83,50,3100000
Jabalpur,Tourism,Travel Agency,96,65,1600000
Chennai,Tourism,Guest House,86,78,4900000
Lucknow,Tourism,Travel Agency,58,48,1400000
Bangalore,Healthcare,Pharmacy,90,45,2600000
Amritsar,Tourism,Guest House,75,36,500000
Allahabad,Tech,Software Startup,99,72,1000000
Chennai,Education,Coaching Institute,91,46,500000
Allahabad,Tech,Mobile Repair,50,66,3600000
Indore,Tourism,Travel Agency,63,24,4000000
Faridabad,Education,Tuition Center,94,54,2900000
Ranchi,Healthcare,Clinic,62,80,3400000
Chandigarh,Education,Coaching Institute,88,75,700000
Ludhiana,Tourism,Guest House,57,62,3600000
Jabalpur,Healthcare,Diagnostic Center,56,29,2400000
Visakhapatnam,Fitness,Gym,55,57,4600000
Dhanbad,Healthcare,Clinic,82,29,4100000
Raipur,Retail,Bookstore,91,75,5000000
Kota,Tourism,Guest House,100,65,1400000
Visakhapatnam,Retail,Grocery Store,98,64,2900000
Indore,Tech,Mobile Repair,76,66,3000000
Meerut,Food,Bakery,76,28,1500000
Nagpur,Education,Coaching Institute,85,70,1300000
Ahmedabad,Retail,Clothing Boutique,97,23,1400000
Ludhiana,Tourism,Tour Guide Service,99,72,4700000
Kalyan,Retail,Grocery Store,93,55,1200000
Jabalpur,Tourism,Travel Agency,60,48,3300000
Kolkata,Retail,Grocery Store,64,73,1900000
Navi Mumbai,Food,Cloud Kitchen,78,52,5000000
Ahmedabad,Education,Coaching Institute,70,26,4800000
Howrah,Food,Bakery,63,49,2800000
Ranchi,Tourism,Travel Agency,83,39,3500000
Delhi,Retail,Grocery Store,54,73,2600000
Srinagar,Healthcare,Diagnostic Center,78,41,1200000
Gwalior,Healthcare,Clinic,60,30,2700000
Amritsar,Retail,Bookstore,72,70,3700000
Vijayawada,Retail,Clothing Boutique,87,74,2000000
Vijayawada,Fitness,Gym,93,71,2100000
Allahabad,Tourism,Travel Agency,78,44,1000000
Hyderabad,Education,Coaching Institute,72,38,3500000
Navi Mumbai,Education,Online Course,92,20,4200000
Mumbai,Tech,Software Startup,66,51,3800000
Meerut,Fitness,Dance Studio,78,73,4100000
Coimbatore,Healthcare,Pharmacy,56,63,1800000
Chandigarh,Food,Bakery,81,30,2400000
Howrah,Tech,Electronics Store,99,80,2600000
Ahmedabad,Fitness,Dance Studio,80,48,3500000
Howrah,Tech,Electronics Store,90,46,1900000
Jodhpur,Fitness,Yoga Studio,73,37,2800000
Visakhapatnam,Fitness,Dance Studio,52,56,700000
Bangalore,Education,Coaching Institute,80,75,500000
Raipur,Education,Tuition Center,91,39,1500000
Ahmedabad,Tourism,Tour Guide Service,97,73,1800000
Ghaziabad,Tourism,Tour Guide Service,98,28,1000000
Jabalpur,Fitness,Yoga Studio,71,74,5000000
Kanpur,Retail,Clothing Boutique,54,28,3600000
Kolkata,Education,Online Course,84,66,2200000
Lucknow,Retail,Clothing Boutique,95,79,4400000
Kota,Tech,Electronics Store,63,46,3900000
Vasai,Fitness,Gym,98,26,1300000
Visakhapatnam,Tech,Mobile Repair,74,20,1500000
Bhopal,Tourism,Tour Guide Service,65,65,3700000
Chennai,Food,Bakery,75,56,700000
Thane,Education,Tuition Center,88,28,3700000
Bhopal,Food,Cloud Kitchen,98,54,1400000
Kanpur,Tourism,Tour Guide Service,61,58,4600000
Mumbai,Food,Cafe,85,51,3100000
Tiruchirappalli,Tourism,Travel Agency,95,77,3600000
Kota,Healthcare,Clinic,88,48,1300000
Allahabad,Tech,Mobile Repair,66,51,1000000
Kolkata,Tech,Mobile Repair,77,80,1400000
Ranchi,Healthcare,Clinic,68,23,5000000
Kanpur,Education,Coaching Institute,77,73,4000000
Nagpur,Tech,Software Startup,98,51,5000000
Agra,Education,Coaching Institute,76,57,4200000
Ludhiana,Fitness,Gym,99,59,1200000
Bhopal,Education,Online Course,93,32,3400000
Tiruchirappalli,Tourism,Guest House,84,75,1800000
Pune,Education,Tuition Center,61,43,900000
Chennai,Tech,Electronics Store,80,65,3300000
Allahabad,Fitness,Dance Studio,79,41,2500000
Indore,Fitness,Dance Studio,74,27,3700000
Rajkot,Healthcare,Diagnostic Center,100,64,1400000
Aurangabad,Food,Bakery,94,40,4400000
Mumbai,Education,Tuition Center,69,32,2800000
Mumbai,Fitness,Yoga Studio,67,44,2400000
Allahabad,Tech,Electronics Store,75,42,4600000
Delhi,Food,Cloud Kitchen,83,45,4300000
Faridabad,Education,Tuition Center,76,56,2900000
Vasai,Fitness,Yoga Studio,61,48,4300000
Mysore,Healthcare,Pharmacy,75,64,4100000
Jabalpur,Tech,Software Startup,61,39,3700000
Faridabad,Tech,Software Startup,70,38,1800000
Pune,Healthcare,Clinic,71,78,4400000
Pune,Tourism,Travel Agency,68,47,2700000
Pune,Retail,Grocery Store,86,61,4000000
Hubli,Retail,Grocery Store,85,62,3000000
Ranchi,Healthcare,Clinic,72,55,3600000
Agra,Food,Restaurant,65,67,4600000
Thane,Fitness,Gym,80,77,2000000
Kalyan,Tourism,Guest House,51,52,4500000
Ahmedabad,Tourism,Travel Agency,94,63,3400000
Bangalore,Retail,Grocery Store,96,57,2100000
Jaipur,Tourism,Travel Agency,99,57,4700000
Vasai,Retail,Clothing Boutique,66,40,5000000
Raipur,Healthcare,Pharmacy,85,57,1300000
Patna,Food,Cafe,94,33,2400000
Guwahati,Retail,Bookstore,69,61,1500000
Srinagar,Fitness,Dance Studio,99,27,2700000
Vadodara,Food,Bakery,59,60,2800000
Tiruchirappalli,Healthcare,Pharmacy,73,29,2700000
Mumbai,Food,Restaurant,74,59,3000000
Agra,Tourism,Tour Guide Service,94,38,4100000
Delhi,Tech,Electronics Store,56,42,4100000
Indore,Tourism,Guest House,52,38,3400000
Kalyan,Education,Online Course,62,45,4900000
Visakhapatnam,Food,Restaurant,88,22,1500000
Pune,Food,Cafe,83,60,700000
Kanpur,Fitness,Dance Studio,66,41,4200000
Indore,Food,Restaurant,98,65,2900000
Kolkata,Healthcare,Clinic,75,55,3100000
Delhi,Education,Online Course,66,33,700000
Bhopal,Healthcare,Pharmacy,63,47,4800000
Delhi,Retail,Grocery Store,82,39,3800000
Ghaziabad,Retail,Clothing Boutique,93,20,1400000
Lucknow,Healthcare,Clinic,71,62,600000
Agra,Tourism,Travel Agency,56,78,1300000
Bangalore,Food,Bakery,100,68,1600000
Patna,Food,Cafe,98,29,4800000
Varanasi,Fitness,Gym,97,55,3100000
Chennai,Food,Cafe,81,57,3400000
Kanpur,Tech,Mobile Repair,77,41,3500000
Mumbai,Food,Cloud Kitchen,64,66,3600000
Howrah,Tourism,Travel Agency,61,70,4300000
Nashik,Food,Cafe,53,38,1700000
Dhanbad,Education,Online Course,58,61,4400000
Hyderabad,Healthcare,Clinic,99,64,3100000
Bangalore,Healthcare,Clinic,57,34,1700000
Navi Mumbai,Retail,Bookstore,81,55,2700000
Raipur,Fitness,Dance Studio,51,63,3100000
Visakhapatnam,Education,Tuition Center,66,62,1100000
Agra,Tech,Electronics Store,77,22,1300000
Chandigarh,Fitness,Yoga Studio,64,30,2900000
Tiruchirappalli,Education,Online Course,61,29,1300000
Mumbai,Tech,Mobile Repair,96,75,2000000
Amritsar,Tech,Mobile Repair,86,58,500000
Bangalore,Education,Online Course,86,52,3400000
Ranchi,Retail,Bookstore,93,33,1600000
Rajkot,Tourism,Travel Agency,76,29,1400000
Kota,Tech,Software Startup,67,45,600000
Delhi,Healthcare,Clinic,75,71,4500000
Bangalore,Tech,Electronics Store,70,41,2300000
Allahabad,Tech,Electronics Store,80,54,1500000
Thane,Education,Online Course,75,55,600000
Solapur,Education,Online Course,99,42,500000
Ludhiana,Education,Coaching Institute,86,20,2200000
Bangalore,Tech,Electronics Store,81,45,3700000
Delhi,Retail,Grocery Store,68,37,1900000
Patna,Retail,Grocery Store,52,58,1100000
Solapur,Education,Online Course,63,45,2300000
Vasai,Education,Tuition Center,94,50,900000
Chandigarh,Fitness,Dance Studio,53,29,3400000
Ahmedabad,Retail,Clothing Boutique,75,41,2500000
Srinagar,Tourism,Travel Agency,61,50,2100000
Ranchi,Healthcare,Clinic,96,60,3700000
Delhi,Retail,Bookstore,64,48,1500000
Vadodara,Retail,Grocery Store,75,37,2900000
Chennai,Tech,Electronics Store,77,72,700000
Nashik,Education,Online Course,72,28,2100000
Agra,Tech,Electronics Store,84,51,3200000
Gwalior,Tourism,Tour Guide Service,82,42,3200000
Guwahati,Tourism,Tour Guide Service,84,24,3700000
Delhi,Education,Online Course,86,53,4400000
Rajkot,Food,Cloud Kitchen,84,66,2800000
Bangalore,Food,Bakery,60,52,1000000
Bangalore,Healthcare,Pharmacy,93,39,2200000
Ghaziabad,Retail,Bookstore,69,76,2200000
Indore,Tech,Mobile Repair,74,24,1000000
Aurangabad,Fitness,Gym,64,58,2000000
Agra,Healthcare,Pharmacy,62,48,3800000
Delhi,Healthcare,Clinic,52,63,3400000
Indore,Tourism,Guest House,98,58,4500000
Bangalore,Food,Cloud Kitchen,63,68,1500000
Faridabad,Food,Restaurant,64,21,1600000
Navi Mumbai,Tech,Software Startup,72,53,2100000
Madurai,Retail,Bookstore,50,75,1900000
Madurai,Tech,Mobile Repair,50,28,4600000
Bangalore,Education,Tuition Center,100,79,1800000
Gwalior,Retail,Clothing Boutique,80,21,3600000
Dhanbad,Retail,Clothing Boutique,83,51,1000000
Patna,Fitness,Gym,75,52,1300000
Hubli,Food,Bakery,91,73,1700000
Solapur,Tech,Electronics Store,99,63,700000
Indore,Education,Tuition Center,61,48,500000
Bhopal,Fitness,Gym,86,50,3500000
Nagpur,Healthcare,Clinic,57,49,3400000
Bangalore,Retail,Grocery Store,93,32,2500000
Lucknow,Food,Cloud Kitchen,57,22,1800000
Vadodara,Tech,Mobile Repair,53,57,2900000
Thane,Healthcare,Diagnostic Center,90,72,4300000
Solapur,Food,Cafe,92,57,3900000
Ranchi,Tourism,Guest House,63,57,3800000
Solapur,Fitness,Dance Studio,79,74,4300000
Kalyan,Tech,Software Startup,70,53,2300000
Nashik,Tourism,Guest House,61,49,3000000
Amritsar,Tourism,Travel Agency,80,67,1900000
Aurangabad,Tech,Mobile Repair,66,25,2600000
Hubli,Healthcare,Diagnostic Center,53,23,1300000
Kalyan,Retail,Grocery Store,52,51,1500000
Thane,Healthcare,Clinic,73,39,1400000
Jaipur,Tech,Mobile Repair,84,33,2000000
Bhopal,Food,Cloud Kitchen,51,69,4200000
Hubli,Fitness,Dance Studio,70,75,500000
Ludhiana,Tech,Software Startup,72,60,1500000
Kota,Food,Restaurant,96,58,4000000
Nagpur,Food,Bakery,79,29,3500000
Visakhapatnam,Tourism,Guest House,79,21,3300000
Lucknow,Fitness,Dance Studio,87,40,3100000
Rajkot,Tech,Electronics Store,63,58,900000
Rajkot,Healthcare,Diagnostic Center,96,56,1200000
Rajkot,Fitness,Gym,61,39,2600000
Lucknow,Healthcare,Pharmacy,94,66,4700000
Hyderabad,Food,Cloud Kitchen,51,61,3200000
Srinagar,Healthcare,Pharmacy,92,65,4300000
Hyderabad,Retail,Grocery Store,87,25,2400000
Nashik,Retail,Clothing Boutique,93,22,800000
Jodhpur,Food,Cloud Kitchen,80,77,3300000
Ludhiana,Tourism,Tour Guide Service,73,42,2600000
Agra,Fitness,Yoga Studio,87,67,4500000
Hyderabad,Tourism,Guest House,93,56,5000000
Delhi,Tourism,Travel Agency,52,58,3300000
Vasai,Education,Tuition Center,71,28,2700000
Madurai,Food,Cafe,95,51,4000000
Chennai,Healthcare,Pharmacy,53,43,4500000
Jaipur,Retail,Grocery Store,93,28,600000
Guwahati,Healthcare,Clinic,96,74,2800000
Aurangabad,Food,Restaurant,87,65,2300000
Kalyan,Fitness,Yoga Studio,75,76,2800000
Ghaziabad,Tourism,Travel Agency,78,77,1200000
Visakhapatnam,Tech,Software Startup,53,62,3300000
Vasai,Tourism,Travel Agency,70,60,500000
Ludhiana,Retail,Grocery Store,92,73,1400000
Mumbai,Food,Bakery,84,67,3300000
Ahmedabad,Retail,Clothing Boutique,60,43,2900000
Vadodara,Healthcare,Pharmacy,90,22,1000000
Kolkata,Food,Restaurant,78,33,1600000
Madurai,Tech,Electronics Store,52,79,1800000
Raipur,Education,Coaching Institute,53,58,1400000
Jabalpur,Food,Restaurant,64,31,500000
Chandigarh,Food,Bakery,63,60,3500000
Vadodara,Healthcare,Diagnostic Center,59,61,4700000
Vadodara,Retail,Bookstore,93,73,2700000
Dhanbad,Education,Tuition Center,72,31,3300000
Rajkot,Retail,Clothing Boutique,53,56,3300000
Ahmedabad,Food,Bakery,86,42,2600000
Chandigarh,Retail,Clothing Boutique,52,65,2600000
Kolkata,Fitness,Yoga Studio,58,75,2300000
Lucknow,Fitness,Yoga Studio,84,78,3500000
Navi Mumbai,Tourism,Guest House,63,29,700000
Madurai,Retail,Bookstore,88,45,800000
Bangalore,Tourism,Tour Guide Service,75,76,600000
Faridabad,Healthcare,Diagnostic Center,87,30,3600000
Visakhapatnam,Healthcare,Diagnostic Center,55,45,1200000
Meerut,Food,Bakery,68,80,700000
Howrah,Food,Cloud Kitchen,95,76,3700000
Guwahati,Education,Tuition Center,98,72,3300000
Jodhpur,Food,Cafe,68,50,2300000
Bhopal,Tourism,Tour Guide Service,63,20,3700000
Agra,Food,Restaurant,71,54,700000
Coimbatore,Healthcare,Pharmacy,62,31,600000
Aurangabad,Food,Cafe,90,54,2800000
Madurai,Tech,Electronics Store,92,34,1000000
Visakhapatnam,Tech,Software Startup,66,42,3500000
Pune,Food,Cafe,65,64,1600000
Nashik,Fitness,Yoga Studio,66,77,1400000
Jodhpur,Tourism,Travel Agency,68,46,1500000
Srinagar,Food,Bakery,77,22,4500000
